BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Tower Hamlets,Archives,,Thomson Reuters ,30 South Colonnade ,Canary Wharf,,E09000030,Tower Hamlets,,,537486.9626,,,E09000030,51.50435142,-0.020429416,180236.9238,6155377,,04/20/2020,Reuters Archive,,E05009323,Canary Wharf,,,,https://reuters.screenocean.com/
Tower Hamlets,Archives,,Whitechapel High Street,,,,E09000030,Tower Hamlets,,,533979.9636,,,E09000030,51.51614774,-0.070465394,181455.9235,6000113,,04/20/2020,Whitechapel Art Gallery,,E05009333,Spitalfields & Banglatown,,,,https://www.whitechapelgallery.org/
Tower Hamlets,Archives,,37 Spital Square,,,,E09000030,Tower Hamlets,,,533412.9637,,,E09000030,51.52020003,-0.078467148,181891.9234,6001685,,04/20/2020,Society for the Protection of Ancient Buildings,,E05009333,Spitalfields & Banglatown,,,,https://www.spab.org.uk/
Tower Hamlets,Archives,,Watson House,54 Baker Street,,,E09000030,Tower Hamlets,,,533942.9636,,,E09000030,51.5170911,-0.070958811,181559.9235,6002410,,04/20/2020,Lasa,,E05009333,Spitalfields & Banglatown,,,,http://www.lasa.org.uk/
Tower Hamlets,Archives,,Graces Alley,,,,E09000030,Tower Hamlets,,,534240.9635,,,E09000030,51.51061305,-0.066937948,180846.9237,6006845,,04/20/2020,Wilton's Music Hall,,E05009336,Whitechapel,,,,https://www.wiltons.org.uk/
Tower Hamlets,Archives,,98 Wapping High Street,,,,E09000030,Tower Hamlets,,,534841.9633,,,E09000030,51.50309221,-0.058596465,180025.9239,6009795,,04/20/2020,Wapping Police Station Museum,,E05009330,St. Katharine's & Wapping,,,,http://www.thamespolicemuseum.org.uk/museum.html
Tower Hamlets,Archives,,4th Floor ,46-92 Whitechapel Road,,,E09000030,Tower Hamlets,,,534316.9635,,,E09000030,51.51746961,-0.065552047,181611.9235,6012773,,04/20/2020,East London Mosque & London Muslim Centre Archive,,E05009336,Whitechapel,,,,https://www.eastlondonmosque.org.uk/content/east-london-mosque-london-muslim-centre-archive-collections
Tower Hamlets,Archives,,277 Bancroft Road,,,,E09000030,Tower Hamlets,,,535907.9631,,,E09000030,51.52381997,-0.042347199,182360.9233,6033654,,04/20/2020,Tower Hamlets Local History Library and Archives,,E05009317,Bethnal Green,,,,https://www.towerhamlets.gov.uk/lgnl/leisure_and_culture/local_history/local_history__archives/local_history__archives.aspx
Tower Hamlets,Archives,,Cambridge Heath Road,,,,E09000030,Tower Hamlets,,,535022.9633,,,E09000030,51.52905531,-0.054881955,182919.9231,6039165,,04/20/2020,V & A Museum of Childhood,,E05009317,Bethnal Green,,,,https://www.vam.ac.uk/moc/
Tower Hamlets,Archives,,St Margaret's House Settlement ,21 Old Ford Rd,,,E09000030,Tower Hamlets,,,535046.9633,,,E09000030,51.52999312,-0.054495932,183024.9231,6040154,,04/20/2020,Unfinished Histories,,E05009331,St. Peter's,,,,http://www.unfinishedhistories.com/
Tower Hamlets,Archives,,42-44 Copperfield Road,,,,E09000030,Tower Hamlets,,,536375.9629,,,E09000030,51.51907944,-0.03580472,181845.9234,6048178,,04/20/2020,Matt's Gallery,,E05009327,Mile End,,,,https://www.mattsgallery.org/
Tower Hamlets,Archives,,White Building, Unit 7 Queen's Yard ,White Post Lane,,E09000030,Tower Hamlets,,,537253.9627,,,E09000030,51.54298591,-0.02211269,184529.9227,6077530,,04/20/2020,Live Art Development Agency's Study Room,,E05009319,Bow East,,,,http://www.thisisliveart.co.uk/resources/study-room/
Tower Hamlets,Archives,,Waterloo Block HM Tower of London,,,,E09000030,Tower Hamlets,,,533601.9637,,,E09000030,51.50827523,-0.076245514,180569.9237,6086565,,04/20/2020,Historic Royal Palaces Architectural Drawings Archive,,E05009330,St. Katharine's & Wapping,,,,https://blog.hrp.org.uk/archive/
Tower Hamlets,Archives,,The Library,Royal Armouries,HM Tower of London,,E09000030,Tower Hamlets,,,533601.9637,,,E09000030,51.50827523,-0.076245514,180569.9237,6086565,,04/20/2020,"Royal Armouries Library, Tower of London",,E05009330,St. Katharine's & Wapping,,,,https://royalarmouries.org/
