site_name,,BCD,BNM,Cultural Venue Type,latitude,longitude
Reuters Archive,,E09000030,Tower Hamlets,Archives,51.50435142,-0.020429416
Whitechapel Art Gallery,,E09000030,Tower Hamlets,Archives,51.51614774,-0.070465394
Society for the Protection of Ancient Buildings,,E09000030,Tower Hamlets,Archives,51.52020003,-0.078467148
Lasa,,E09000030,Tower Hamlets,Archives,51.5170911,-0.070958811
Wilton's Music Hall,,E09000030,Tower Hamlets,Archives,51.51061305,-0.066937948
Wapping Police Station Museum,,E09000030,Tower Hamlets,Archives,51.50309221,-0.058596465
East London Mosque & London Muslim Centre Archive,,E09000030,Tower Hamlets,Archives,51.51746961,-0.065552047
Tower Hamlets Local History Library and Archives,,E09000030,Tower Hamlets,Archives,51.52381997,-0.042347199
V & A Museum of Childhood,,E09000030,Tower Hamlets,Archives,51.52905531,-0.054881955
Unfinished Histories,,E09000030,Tower Hamlets,Archives,51.52999312,-0.054495932
Matt's Gallery,,E09000030,Tower Hamlets,Archives,51.51907944,-0.03580472
Live Art Development Agency's Study Room,,E09000030,Tower Hamlets,Archives,51.54298591,-0.02211269
Historic Royal Palaces Architectural Drawings Archive,,E09000030,Tower Hamlets,Archives,51.50827523,-0.076245514
"Royal Armouries Library, Tower of London",,E09000030,Tower Hamlets,Archives,51.50827523,-0.076245514
Royal London Hospital Archives,,E09000030,Tower Hamlets,Archives,51.51160555,-0.070412426
Royal Fusiliers Museum,,E09000030,Tower Hamlets,Archives,51.50839276,-0.075188563
Lesbian and Gay Christian Movement,,E09000030,Tower Hamlets,Archives,51.52636805,-0.061484047
HSBC Group Archives,,E09000030,Tower Hamlets,Archives,51.50553219,-0.017395336
Crisis,,E09000030,Tower Hamlets,Archives,51.51811045,-0.073885005
"London University: Queen Mary, University of London",,E09000030,Tower Hamlets,Archives,51.52418885,-0.039664421
Royal College of Psychiatrists,,E09000030,Tower Hamlets,Archives,51.51141648,-0.071098355
Living Streets,,E09000030,Tower Hamlets,Archives,51.51708235,-0.070973594
Museum of London Docklands - Port and River Archive,,E09000030,Tower Hamlets,Archives,51.50769779,-0.023152002
Sainsbury Archive,,E09000030,Tower Hamlets,Archives,51.50769779,-0.023152002
Minority Rights Group,,E09000030,Tower Hamlets,Archives,51.51744496,-0.073336543
Working Mens College,,E09000007,Camden,Archives,51.53523862,-0.136029812
Wellcome Collection,,E09000007,Camden,Archives,51.52589757,-0.133917455
English National Opera Archive,,E09000007,Camden,Archives,51.54618942,-0.190460152
London University: UCL School of Slavonic and East European Studies,,E09000007,Camden,Archives,51.52532328,-0.131735287
Magistrates Association,,E09000007,Camden,Archives,51.52259699,-0.140697861
Freud Museum,,E09000007,Camden,Archives,51.54842189,-0.177246355
Keats House,,E09000007,Camden,Archives,51.55556976,-0.16793018
London University: Senate House Library,,E09000007,Camden,Archives,51.52064362,-0.128698024
London Mathematical Society,,E09000007,Camden,Archives,51.52117742,-0.124394946
London University: Institute of Modern Languages Research,,E09000007,Camden,Archives,51.52064362,-0.128698024
London University: Institute of Classical Studies,,E09000007,Camden,Archives,51.52064362,-0.128698024
London University: Institute of Commonwealth Studies,,E09000007,Camden,Archives,51.52064362,-0.128698024
Liberal Judaism archives,,E09000007,Camden,Archives,51.52243218,-0.137677393
Egypt Exploration Society,,E09000007,Camden,Archives,51.52315343,-0.116947449
General Conference of the New Church,,E09000007,Camden,Archives,51.51792235,-0.122727011
Swedenborg Society,,E09000007,Camden,Archives,51.51792235,-0.122727011
"British Library, Music Collections",,E09000007,Camden,Archives,51.52998677,-0.126988356
British Library Corporate Archives,,E09000007,Camden,Archives,51.52998677,-0.126988356
British Library: Asian and African Studies,,E09000007,Camden,Archives,51.52998677,-0.126988356
"British Library, Modern English and Reader Services, Humanities and Social Sciences",,E09000007,Camden,Archives,51.52998677,-0.126988356
"British Library, Sound Archive",,E09000007,Camden,Archives,51.52998677,-0.126988356
"British Library, Map Library",,E09000007,Camden,Archives,51.52998677,-0.126988356
