site_name,Cultural Venue Type,latitude,longitude
Reuters Archive,Archives,51.50435142,-0.020429416
Whitechapel Art Gallery,Archives,51.51614774,-0.070465394
Society for the Protection of Ancient Buildings,Archives,51.52020003,-0.078467148
Lasa,Archives,51.5170911,-0.070958811
Wilton's Music Hall,Archives,51.51061305,-0.066937948
Wapping Police Station Museum,Archives,51.50309221,-0.058596465
East London Mosque & London Muslim Centre Archive,Archives,51.51746961,-0.065552047
Tower Hamlets Local History Library and Archives,Archives,51.52381997,-0.042347199
V & A Museum of Childhood,Archives,51.52905531,-0.054881955
Unfinished Histories,Archives,51.52999312,-0.054495932
Matt's Gallery,Archives,51.51907944,-0.03580472
Live Art Development Agency's Study Room,Archives,51.54298591,-0.02211269
Historic Royal Palaces Architectural Drawings Archive,Archives,51.50827523,-0.076245514
"Royal Armouries Library, Tower of London",Archives,51.50827523,-0.076245514
Royal London Hospital Archives,Archives,51.51160555,-0.070412426
Royal Fusiliers Museum,Archives,51.50839276,-0.075188563
Lesbian and Gay Christian Movement,Archives,51.52636805,-0.061484047
HSBC Group Archives,Archives,51.50553219,-0.017395336
Crisis,Archives,51.51811045,-0.073885005
"London University: Queen Mary, University of London",Archives,51.52418885,-0.039664421
Royal College of Psychiatrists,Archives,51.51141648,-0.071098355
Living Streets,Archives,51.51708235,-0.070973594
Museum of London Docklands - Port and River Archive,Archives,51.50769779,-0.023152002
Sainsbury Archive,Archives,51.50769779,-0.023152002
Minority Rights Group,Archives,51.51744496,-0.073336543
Working Mens College,Archives,51.53523862,-0.136029812
Wellcome Collection,Archives,51.52589757,-0.133917455
English National Opera Archive,Archives,51.54618942,-0.190460152
London University: UCL School of Slavonic and East European Studies,Archives,51.52532328,-0.131735287
Magistrates Association,Archives,51.52259699,-0.140697861
Freud Museum,Archives,51.54842189,-0.177246355
Keats House,Archives,51.55556976,-0.16793018
London University: Senate House Library,Archives,51.52064362,-0.128698024
London Mathematical Society,Archives,51.52117742,-0.124394946
London University: Institute of Modern Languages Research,Archives,51.52064362,-0.128698024
London University: Institute of Classical Studies,Archives,51.52064362,-0.128698024
London University: Institute of Commonwealth Studies,Archives,51.52064362,-0.128698024
Liberal Judaism archives,Archives,51.52243218,-0.137677393
Egypt Exploration Society,Archives,51.52315343,-0.116947449
General Conference of the New Church,Archives,51.51792235,-0.122727011
Swedenborg Society,Archives,51.51792235,-0.122727011
"British Library, Music Collections",Archives,51.52998677,-0.126988356
British Library Corporate Archives,Archives,51.52998677,-0.126988356
British Library: Asian and African Studies,Archives,51.52998677,-0.126988356
"British Library, Modern English and Reader Services, Humanities and Social Sciences",Archives,51.52998677,-0.126988356
"British Library, Sound Archive",Archives,51.52998677,-0.126988356
"British Library, Map Library",Archives,51.52998677,-0.126988356
"British Library, Manuscript Collections",Archives,51.52998677,-0.126988356
Mary Ward Centre,Archives,51.52086587,-0.12178428
Hon Soc of Gray's Inn: Archives,Archives,51.51927701,-0.112437215
Humanist Library and Archives,Archives,51.51979404,-0.118311294
National Secular Society,Archives,51.51979404,-0.118311294
Paul Mellon Centre for Studies in British Art,Archives,51.51957157,-0.130269899
Royal College of Anaesthetists,Archives,51.51943761,-0.119637687
University College London Hospitals NHS Foundation Trust,Archives,51.52573661,-0.137369511
English Folk Dance and Song Society: Vaughan Williams Memorial Library,Archives,51.53810212,-0.149337866
Hampstead Museum,Archives,51.5581809,-0.175067341
Highgate Literary and Scientific Institution,Archives,51.57018179,-0.14839595
Royal College of Physicians of London,Archives,51.52574929,-0.144980746
History of Parliament,Archives,51.51928304,-0.124025969
Camden Local Studies and Archives Centre,Archives,51.52118201,-0.115702644
"Jewish Museum, London (fomerly Finchley)",Archives,51.53728156,-0.144641468
"Jewish Museum, London",Archives,51.53728156,-0.144641468
Religious Society of Friends Library,Archives,51.5262991,-0.132589142
BT Archives,Archives,51.51761085,-0.116758156
Royal African Society,Archives,51.52235179,-0.129233406
